"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"kauditd","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3140","0",,"False","8/15/2025 1:31:55 AM",,"50",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","kauditd","00:00:00","00:00:00","00:00:00",,
"kcompactd0","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"35.05",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2964","0",,"False","8/15/2025 1:31:55 AM",,"55",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","kcompactd0","00:00:35.0500000","00:00:35.0500000","00:00:00",,
"kdevtmpfs","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"0.01",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2776","0",,"False","8/15/2025 1:31:55 AM",,"47",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","kdevtmpfs","00:00:00","00:00:00.0100000","00:00:00.0100000",,
"khugepaged","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"17.73",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2288","19",,"False","8/15/2025 1:31:55 AM",,"57",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Idle","0","0","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","khugepaged","00:00:17.7300000","00:00:17.7300000","00:00:00",,
"khungtaskd","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"0.45",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3128","0",,"False","8/15/2025 1:31:55 AM",,"51",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","khungtaskd","00:00:00.4300000","00:00:00.4500000","00:00:00.0200000",,
"ksmd","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1920","5",,"False","8/15/2025 1:31:55 AM",,"56",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","BelowNormal","0","0","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","ksmd","00:00:00","00:00:00","00:00:00",,
"ksoftirqd/0","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"2.7599999",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1892","0",,"False","8/15/2025 1:31:55 AM",,"16",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","1","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","ksoftirqd/0","00:00:02.7200000","00:00:02.7599999","00:00:00.0400000",,
"ksoftirqd/1","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"2.8",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8","0",,"False","8/15/2025 1:31:55 AM",,"26",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","2","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","ksoftirqd/1","00:00:02.7900000","00:00:02.8000000","00:00:00.0100000",,
"ksoftirqd/2","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"6.33",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2688","0",,"False","8/15/2025 1:31:55 AM",,"32",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","4","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","ksoftirqd/2","00:00:06.2200000","00:00:06.3300000","00:00:00.1100000",,
"ksoftirqd/3","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"7.2",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1840","0",,"False","8/15/2025 1:31:55 AM",,"38",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","8","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","ksoftirqd/3","00:00:07.1900000","00:00:07.2000000","00:00:00.0100000",,
